Study	Authors	Lon	Lat	Region	Environment	Environment_2	Environment_4	Temp_insitu	Temp_inc	Medium_pore	Medium_volume	Inno_pore	Inno_volume	Inno_origin	Medium_origin	Enriched_2	pch	DOC_ini	DOC_log	DOC_end	DOC_Lab	DOC_L_SL	Log_time	End_time	LDOC	Labile_time
1	Apple_&_del_Giorgio	-75.8333333333333	38.225	North_Atlantic	Coastal	Estuary	NA	NA	22	0.2	0.5	1	0.01	NA	Monie_bay	0	23	1040.71268004329	NA	994.921322121389	NA	45.7913579219049	NA	24	45.7913579219049	24
1	Apple_&_del_Giorgio	-75.8333333333333	38.225	North_Atlantic	Coastal	Estuary	NA	NA	22	0.2	0.5	1	0.01	NA	Monie_bay	0	23	799.26733827325	NA	684.972108900175	NA	114.295229373075	NA	24	114.295229373075	24
1	Apple_&_del_Giorgio	-75.8333333333333	38.225	North_Atlantic	Coastal	Estuary	NA	NA	22	0.2	0.5	1	0.01	NA	Monie_bay	0	23	641.079010906669	NA	594.280243110482	NA	46.7987677961868	NA	24	46.7987677961868	24
1	Apple_&_del_Giorgio	-75.8333333333333	38.225	North_Atlantic	Coastal	Estuary	NA	NA	22	0.2	0.5	1	0.01	NA	Monie_bay	0	23	499.542086420781	NA	459.079177420698	NA	40.4629090000833	NA	24	40.4629090000833	24
2	Becquevort	29.69	44.85	Black_sea	Coastal	Inland_sea	NA	7.4	20	0.2	0.3	2	0.005	Black_sea	Black_sea	0	22	258.333333333333	231.666666666667	224.793938889351	26	33.5393944439819	5	30	33.5393944439819	30
3	Bonilla-Findji	3.08	51.26	North_Sea	Coastal	Coastal	NA	7.6	7.6	0.2	18	Full	1	North_Sea	North_Sea	0	24	195	169.65	169.65	25.35	25.35	6	6	25.35	6
4	Boyer	-80.2	25	North_Atlantic	Coastal	Estuary	NA	NA	26	NA	NA	NA	NA	déc-01	Florida_bay	0	23	535.8	NA	516.8	NA	19	NA	10	19	10
4	Boyer	-80.2	25	North_Atlantic	Coastal	Estuary	NA	NA	26	NA	NA	NA	NA	déc-01	Florida_bay	0	23	824.2	NA	810	NA	14.2	NA	10	14.2	10
4	Boyer	-80.2	25	North_Atlantic	Coastal	Estuary	NA	NA	26	NA	NA	NA	NA	déc-01	Florida_bay	0	23	848.3	NA	821.8	NA	26.5	NA	10	26.5	10
4	Boyer	-80.2	25	North_Atlantic	Coastal	Estuary	NA	NA	26	NA	NA	NA	NA	déc-01	Florida_bay	0	23	562.2	NA	548.4	NA	13.8	NA	10	13.8	10
4	Boyer	-80.2	25	North_Atlantic	Coastal	Estuary	NA	NA	26	NA	NA	NA	NA	mai-02	Florida_bay	0	23	532.7	NA	485.5	NA	47.2	NA	10	47.2	10
4	Boyer	-80.2	25	North_Atlantic	Coastal	Estuary	NA	NA	26	NA	NA	NA	NA	mai-02	Florida_bay	0	23	814.8	NA	770.2	NA	44.6	NA	10	44.6	10
